DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
11/24/2024,1.43981681,18394.6235,320.6183695,0.558211051,1742638.385,5.245134653,26465.865,30600.53808,9921.546085,16864.203,6.311601265,5.1,20235.878,6.776252222,0.473736571,3.6,12226.89222,4092.750174,593209.6969
12/1/2024,1.43981681,18408.6519,321.167968,0.558211051,1742627.451,5.245213826,26465.865,30595.94261,9817.940981,16846.46307,6.311601265,5.1,20235.878,6.779713429,0.473736571,3.6,12232.28131,4092.750174,593134.86
12/8/2024,1.43981681,18422.6803,321.2099017,0.558211051,1742637.622,5.24528777,26465.865,30591.34715,9714.335877,16843.4596,6.311601265,5.1,20235.878,6.783581776,0.473736571,3.6,12233.04142,4092.750174,593075.5351
12/15/2024,1.43981681,18436.7087,321.2664249,0.558211051,1742628.16,5.245356829,26465.865,30586.75168,9610.730774,16780.77339,6.311601265,5.1,20235.878,6.787057033,0.473736571,3.6,12227.65627,4092.750174,592951.1289
12/22/2024,1.43981681,18450.7371,321.3481941,0.558211051,1742636.962,5.245421327,26465.865,30582.1562,9507.12567,16688.5066,6.311601265,5.1,20235.878,6.790916735,0.473736571,3.6,12228.84086,4092.750174,592809.7251
12/29/2024,1.43981681,18464.7655,321.9847943,0.558211051,1742628.774,5.245481565,26465.865,30577.56071,9403.520566,16648.25757,6.311601265,5.1,20235.878,6.794401919,0.473736571,3.6,12233.5339,4092.750174,592714.5289
1/5/2025,1.43981681,18478.7939,322.1294448,0.558211051,1742636.391,5.245537824,26465.865,30572.96521,9299.915462,16650.46412,6.311601265,5.1,20235.878,6.798248267,0.473736571,3.6,12230.74811,4092.750174,592656.6715
1/12/2025,1.43981681,18492.8223,322.2118338,0.558211051,1742629.305,5.245590367,26465.865,30568.3697,9196.310359,16611.48992,6.311601265,5.1,20235.878,6.801744163,0.473736571,3.6,12227.27891,4092.750174,592556.2167
1/19/2025,1.43981681,18506.8507,322.1870016,0.558211051,1742635.897,5.24563944,26465.865,30563.77419,9092.705255,16519.96176,6.311601265,5.1,20235.878,6.805582568,0.473736571,3.6,12231.15157,4092.750174,592416.8084
1/26/2025,1.43981681,18520.8791,322.7075503,0.558211051,1742629.765,5.245685271,26465.865,30559.17869,8989.100151,16456.29166,6.311601265,5.1,20235.878,6.809088697,0.473736571,3.6,12233.07422,4092.750174,592298.4461
