DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price
3/30/2017,0.91650302,12149.293,243.892,0.081279787,2027000,0.91,19148.194,15637.82,3594.6,13470.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5914.34,2368.06
3/31/2017,0.91650302,12149.293,243.892,0.081279787,2027000,0.82,19148.194,15637.82,3594.6,13470.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5911.74,2362.72
4/1/2017,0.76575378,12149.293,244.193,0.296553337,1990000,0.82,19304.506,16072.763,3594.6,13470.1,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5911.74,2362.72
4/2/2017,0.76575378,12149.293,244.193,0.296553337,1990000,0.82,19304.506,16072.763,3594.6,13470.1,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5911.74,2362.72
4/3/2017,0.76575378,12149.293,244.193,0.296553337,1990000,0.91,19304.506,16072.763,3682.9,13581.8,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5894.68,2358.84
4/4/2017,0.76575378,12149.293,244.193,0.296553337,1990000,0.91,19304.506,16072.763,3682.9,13581.8,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5898.61,2360.16
4/5/2017,0.76575378,12187.0717,244.193,0.296553337,1990000,0.91,19304.506,16072.763,3682.9,13581.8,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5864.48,2352.95
4/6/2017,0.76575378,12187.0717,244.193,0.296553337,1990000,0.91,19304.506,16072.763,3682.9,13581.8,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5878.95,2357.49
4/7/2017,0.76575378,12187.0717,244.193,0.296553337,1990000,0.91,19304.506,16072.763,3682.9,13581.8,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5877.81,2355.54
4/8/2017,0.76575378,12187.0717,244.193,0.296553337,1968000,0.91,19304.506,16072.763,3682.9,13581.8,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5877.81,2355.54
4/9/2017,0.76575378,12187.0717,244.193,0.296553337,1968000,0.91,19304.506,16072.763,3682.9,13581.8,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5877.81,2355.54
4/10/2017,0.76575378,12187.0717,244.193,0.296553337,1968000,0.91,19304.506,16072.763,3361.9,13632.5,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5880.93,2357.16
4/11/2017,0.76575378,12187.0717,244.193,0.296553337,1968000,0.91,19304.506,16072.763,3361.9,13632.5,1.553658363,7.3,17979.218,2.25217,0.09682,4.4,5866.77,2353.78
