DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
4/7/2024,1.44503696,16742.25068,309.6769827,0.536244775,801223.4544,4.908548645,27189.70479,31378.36649,18898.45441,20089.27335,4.926282715,5.088829392,20356.16961,6.393988484,0.383837692,3.586309597,12230.52624,4089.564584,334849.8181
4/14/2024,1.441428209,16733.68935,309.8071401,0.523285321,859004.8782,4.926574777,27194.42448,31387.42664,18896.74639,20077.79819,4.929539032,5.083480835,20351.53653,6.396345787,0.385368352,3.584203686,12218.95545,4089.950535,351184.5134
4/21/2024,1.439816822,16726.79566,309.9146702,0.559264967,837796.8665,4.906838481,27198.80622,31396.81701,18891.21767,20063.05025,4.907054528,5.1,20344.1593,6.397405851,0.383313675,3.599981723,12245.40407,4100.850825,345185.9292
4/28/2024,1.437243164,16718.31502,310.037507,0.521570056,839963.0288,4.935968681,27220.26236,31397.30176,18887.7434,20061.41003,4.928852409,5.089766268,20361.04877,6.397989734,0.385450832,3.589918262,12239.9444,4097.567969,345797.7253
5/5/2024,1.44503696,16712.29422,310.1545232,0.536244775,749517.436,4.908549134,27227.73459,31400.35291,18899.07186,20049.23244,4.926282715,5.088829392,20361.84667,6.393445851,0.383837692,3.586309596,12231.57819,4089.642954,320170.8908
5/12/2024,1.441428209,16704.03965,310.2815995,0.523285321,807815.92,4.926575167,27232.04407,31409.19132,18897.35767,20038.17162,4.929539032,5.083480835,20357.15358,6.395832903,0.385368352,3.584203686,12219.97656,4090.028122,336652.3764
5/19/2024,1.439816822,16697.44959,310.3860685,0.559264967,787119.7979,4.906838794,27236.02003,31418.36218,18891.82284,20023.83372,4.907054528,5.1,20349.71699,6.396921086,0.383313675,3.599981723,12246.39524,4100.927635,330799.115
5/26/2024,1.437243164,16689.26946,310.5058638,0.521570056,789792.7308,4.935968931,27257.07475,31418.62962,18888.34252,20022.5993,4.928852409,5.089766268,20366.54772,6.397531546,0.385450832,3.589918261,12240.9065,4097.644011,331554.7809
6/2/2024,1.44503696,16683.5461,310.6198583,0.536244775,699848.841,4.908549333,27264.1499,31421.46567,18899.66498,20010.82332,4.926282715,5.088829392,20367.2875,6.393012783,0.383837692,3.586309596,12232.51208,4089.718236,306070.3777
6/9/2024,1.441428209,16675.58592,310.7439323,0.523285321,758644.011,4.926575327,27268.06657,31430.09114,18897.94486,20000.15994,4.929539032,5.083480835,20362.53691,6.395423577,0.385368352,3.584203685,12220.88307,4090.102651,322692.8707
